Title:		Opus Test      
CGB:		1
SGB:		0
license:	
romSize:	32768
romBanks:	0
ramSize:	0
ramBanks:	0
japanese:	1
romVersion:	1
ROM:		ROM
SCY: 00, LY: 80, address: 1a00, tileNum: 0
SCY: 00, LY: 81, address: 1a00, tileNum: 0
SCY: 00, LY: 82, address: 1a00, tileNum: 0
SCY: 00, LY: 83, address: 1a00, tileNum: 0
SCY: 00, LY: 84, address: 1a00, tileNum: 0
SCY: 00, LY: 85, address: 1a00, tileNum: 0
SCY: 00, LY: 86, address: 1a00, tileNum: 0
SCY: 00, LY: 87, address: 1a00, tileNum: 0
SCY: 00, LY: 88, address: 1a20, tileNum: 0
SCY: 00, LY: 89, address: 1a20, tileNum: 0
SCY: 00, LY: 8a, address: 1a20, tileNum: 0
SCY: 00, LY: 8b, address: 1a20, tileNum: 0
SCY: 00, LY: 8c, address: 1a20, tileNum: 0
SCY: 00, LY: 8d, address: 1a20, tileNum: 0
SCY: 00, LY: 8e, address: 1a20, tileNum: 0
SCY: 00, LY: 8f, address: 1a20, tileNum: 0
SCY: 00, LY: 00, address: 1800, tileNum: 0
SCY: 00, LY: 01, address: 1800, tileNum: 0
SCY: 00, LY: 02, address: 1800, tileNum: 0
SCY: 00, LY: 03, address: 1800, tileNum: 0
SCY: 00, LY: 04, address: 1800, tileNum: 0
SCY: 00, LY: 05, address: 1800, tileNum: 0
SCY: 00, LY: 06, address: 1800, tileNum: 0
SCY: 00, LY: 07, address: 1800, tileNum: 0
SCY: 00, LY: 08, address: 1820, tileNum: 0
SCY: 00, LY: 09, address: 1820, tileNum: 0
SCY: 00, LY: 0a, address: 1820, tileNum: 0
SCY: 00, LY: 0b, address: 1820, tileNum: 0
SCY: 00, LY: 0c, address: 1820, tileNum: 0
SCY: 00, LY: 0d, address: 1820, tileNum: 0
SCY: 00, LY: 0e, address: 1820, tileNum: 0
SCY: 00, LY: 0f, address: 1820, tileNum: 0
SCY: 00, LY: 10, address: 1840, tileNum: 0
SCY: 00, LY: 11, address: 1840, tileNum: 0
SCY: 00, LY: 12, address: 1840, tileNum: 0
SCY: 00, LY: 13, address: 1840, tileNum: 0
SCY: 00, LY: 14, address: 1840, tileNum: 0
SCY: 00, LY: 15, address: 1840, tileNum: 0
SCY: 00, LY: 16, address: 1840, tileNum: 0
SCY: 00, LY: 17, address: 1840, tileNum: 0
SCY: 00, LY: 18, address: 1860, tileNum: 0
SCY: 00, LY: 19, address: 1860, tileNum: 0
SCY: 00, LY: 1a, address: 1860, tileNum: 0
SCY: 00, LY: 1b, address: 1860, tileNum: 0
SCY: 00, LY: 1c, address: 1860, tileNum: 0
SCY: 00, LY: 1d, address: 1860, tileNum: 0
SCY: 00, LY: 1e, address: 1860, tileNum: 0
SCY: 00, LY: 1f, address: 1860, tileNum: 0
SCY: 00, LY: 20, address: 1880, tileNum: 0
SCY: 00, LY: 21, address: 1880, tileNum: 0
SCY: 00, LY: 22, address: 1880, tileNum: 0
SCY: 00, LY: 23, address: 1880, tileNum: 0
SCY: 00, LY: 24, address: 1880, tileNum: 0
SCY: 00, LY: 25, address: 1880, tileNum: 0
SCY: 00, LY: 26, address: 1880, tileNum: 0
SCY: 00, LY: 27, address: 1880, tileNum: 0
SCY: 00, LY: 28, address: 18a0, tileNum: 0
SCY: 00, LY: 29, address: 18a0, tileNum: 0
SCY: 00, LY: 2a, address: 18a0, tileNum: 0
SCY: 00, LY: 2b, address: 18a0, tileNum: 0
SCY: 00, LY: 2c, address: 18a0, tileNum: 0
SCY: 00, LY: 2d, address: 18a0, tileNum: 0
SCY: 00, LY: 2e, address: 18a0, tileNum: 0
SCY: 00, LY: 2f, address: 18a0, tileNum: 0
SCY: 00, LY: 30, address: 18c0, tileNum: 0
SCY: 00, LY: 31, address: 18c0, tileNum: 0
SCY: 00, LY: 32, address: 18c0, tileNum: 0
SCY: 00, LY: 33, address: 18c0, tileNum: 0
SCY: 00, LY: 34, address: 18c0, tileNum: 0
SCY: 00, LY: 35, address: 18c0, tileNum: 0
